date,temperature_2m_min,temperature_2m_max,avg_temperature,temperature_gap,precipitation_sum,has_rain
2025-06-25,25.1,32.2,28.6,7.1,0.2,True
2025-06-26,25.7,30.7,28.2,5.0,1.1,True
2025-06-27,26.4,31.2,28.8,4.8,0.4,True
2025-06-28,24.2,31.5,27.8,7.3,9.1,True
2025-06-29,24.8,29.9,27.4,5.1,0.1,True
2025-06-30,24.6,29.8,27.2,5.2,0.3,True
2025-07-01,26.4,30.8,28.6,4.4,0.0,False
2025-07-02,25.1,31.9,28.5,6.8,0.4,True
2025-07-03,24.4,31.6,28.0,7.2,1.5,True
2025-07-04,24.5,32.6,28.6,8.1,0.1,True
2025-07-05,25.0,30.5,27.8,5.5,0.1,True
2025-07-06,24.8,29.5,27.2,4.7,2.3,True
2025-07-07,23.8,30.3,27.0,6.5,1.7,True
2025-07-08,24.2,30.1,27.2,5.9,0.0,False
2025-07-09,22.9,31.7,27.3,8.8,0.0,False
2025-07-10,22.1,30.7,26.4,8.6,0.0,False
2025-07-11,22.7,29.9,26.3,7.2,0.0,False
2025-07-12,23.8,29.7,26.8,5.9,0.8,True
2025-07-13,27.4,30.7,29.0,3.3,0.2,True
2025-07-14,24.3,31.8,28.0,7.5,0.0,False
2025-07-15,23.5,31.0,27.2,7.5,0.9,True
2025-07-16,25.1,31.7,28.4,6.6,0.0,False
2025-07-17,24.0,31.4,27.7,7.4,0.0,False
2025-07-18,23.4,31.0,27.2,7.6,0.0,False
2025-07-19,22.8,30.3,26.6,7.5,0.0,False
2025-07-20,23.4,30.2,26.8,6.8,0.0,False
2025-07-21,22.6,30.5,26.6,7.9,0.0,False
2025-07-22,22.4,30.6,26.5,8.2,0.0,False
2025-07-23,24.1,30.8,27.4,6.7,0.3,True
